animal_id,fk_type,animal_name,fk_breed,fk_colour_1,fk_colour_2,date_of_birth
A688756,1,,51,25,23,2014-07-08 00:00:00
A677940,1,,51,3,1,2014-04-16 00:00:00
A671308,1,Siegfried,51,30,25,2013-08-22 00:00:00
A687999,1,,48,7,1,2014-07-13 00:00:00
A685449,1,,51,42,1,2014-07-23 00:00:00
A680185,1,Lestat,51,42,1,2013-05-30 00:00:00
A670135,1,*Mason,51,13,25,2012-07-02 00:00:00
A679429,1,*Goose,51,24,1,2014-04-14 00:00:00
A678763,1,Snowflake,48,20,1,2013-09-12 00:00:00
A683744,1,,51,14,1,2014-07-13 00:00:00
A662736,1,,20,27,25,2012-09-08 00:00:00
A664601,1,,51,22,25,2008-10-05 00:00:00
A690246,1,,51,14,1,2014-09-24 00:00:00
A683356,1,,51,23,1,2014-03-09 00:00:00
A685164,1,*Birch,51,25,27,2014-07-27 00:00:00
A692153,1,*Joannie,51,3,1,2014-09-01 00:00:00
A678244,1,,51,27,25,2013-05-06 00:00:00
A675414,1,Kit Kat,64,23,1,2014-02-05 00:00:00
A679456,1,Kovu,56,23,1,2014-03-13 00:00:00
A669911,1,*Kim,51,42,1,2011-12-30 00:00:00
A664310,1,Chan,20,22,25,2012-10-01 00:00:00
A680987,1,*Boogie,51,27,1,2014-05-17 00:00:00
A665071,1,*Mary,51,23,1,2013-09-13 00:00:00
A674861,1,,51,23,25,2013-03-19 00:00:00
A669014,1,Sophie,51,23,1,2006-12-12 00:00:00
A680409,1,Lark,48,37,1,2014-05-02 00:00:00
A678894,1,*Wayne,51,27,25,2014-04-13 00:00:00
A689907,1,Tiny,51,42,1,2014-06-11 00:00:00
A676708,1,,51,42,1,2011-04-14 00:00:00
A693929,1,Anakin,20,23,25,2006-12-17 00:00:00
A682219,1,*Elsie,51,25,23,2014-05-18 00:00:00
A676655,1,,11,23,1,2009-04-13 00:00:00
A670696,1,Pepper,51,25,1,2010-11-15 00:00:00
A681267,1,Pearl,51,3,1,2006-06-14 00:00:00
A661521,1,*Candace,51,27,1,2013-06-28 00:00:00
A691736,1,Sylvester,11,42,1,2013-11-08 00:00:00
A686827,1,,51,3,1,2012-02-27 00:00:00
A686827,1,,51,3,1,2012-02-27 00:00:00
A682370,1,,11,42,1,2014-04-12 00:00:00
A673269,1,*Curtis,51,27,1,2013-02-21 00:00:00
A674102,1,*Sebastian,51,27,1,2011-03-07 00:00:00
A678868,1,,51,13,25,2014-05-05 00:00:00
A670437,1,,57,25,1,2013-02-08 00:00:00
